Country Name,number _of_beds
Afghanistan,0.5
Albania,2.9
Algeria,1.9
Antigua and Barbuda,3.8
Argentina,5
Armenia,4.2
Australia,3.8
Austria,7.6
Azerbaijan,4.7
"Bahamas, The",2.9
Bahrain,2
Bangladesh,0.8
Barbados,5.8
Belarus,11
Belgium,6.2
Belize,1.3
Bolivia,1.1
Bosnia and Herzegovina,3.5
Brazil,2.2
Brunei Darussalam,2.7
Bulgaria,6.8
Burundi,0.8
Cambodia,0.8
Chile,2.2
China,4.4
Colombia,1.5
Costa Rica,1.2
Croatia,5.6
Cuba,5.2
Cyprus,3.4
Czech Republic,6.5
Denmark,2.5
Djibouti,1.4
Dominican Republic,1.6
Ecuador,1.5
"Egypt, Arab Rep.",1.6
El Salvador,1.3
Estonia,
Ethiopia,0.3
Finland,4.4
France,6.5
Georgia,2.6
Germany,8.3
Greece,4.3
Grenada,3.7
Guatemala,0.6
Guyana,1.6
Haiti,0.7
Honduras,0.7
Hungary,7
Iceland,3.2
Indonesia,1.2
Iran,1.5
Iraq,1.4
Ireland,2.8
Israel,3.1
Italy,3.6
Jamaica,1.7
Japan,12.7
Jordan,1.4
Kazakhstan,6.7
Kiribati,1.9
"Korea, South",11.5
Kuwait,2
Kyrgyz Republic,4.5
Latvia,5.8
Lebanon,2.9
Libya,3.7
Lithuania,7.3
Luxembourg,4.8
Malaysia,1.9
Malta,4.7
Mexico,1.5
Moldova,5.8
Morocco,1.1
New Zealand,2.8
Nicaragua,0.9
Niger,0.3
North Macedonia,4.4
Norway,3.9
Oman,1.6
Pakistan,0.6
Panama,2.3
Peru,1.6
Poland,6.5
Portugal,3.4
Qatar,1.2
Romania,6.3
Russia,8.2
Saudi Arabia,2.7
Singapore,2.4
Slovak Republic,5.8
Slovenia,4.6
Somalia,0.9
Spain,3
St. Lucia,1.3
St. Vincent and the Grenadines,2.6
Sudan,0.8
Sweden,2.6
Switzerland,4.7
Syrian Arab Republic,1.5
Tajikistan,4.8
Trinidad and Tobago,3
Tunisia,2.3
Turkey,2.7
Turkmenistan,7.4
Ukraine,8.8
United Arab Emirates,1.2
United Kingdom,2.8
US,2.9
Uruguay,2.8
Uzbekistan,4
"Venezuela, RB",0.8
Vietnam,2.6
"Yemen, Rep.",0.7
